country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
West,0,0,0,0
Middle,89,132,54,4.9
Middle,25,0,14,0.7
Middle,245,138,312,12.4
Middle,217,57,45,5.9
East ,102,128,45,4.9
East ,193,25,221,8.3
West,21,179,11,3.8
West,261,72,212,10.4
Middle,279,75,191,9.7
Middle,21,46,5,1.3
East ,122,176,51,6.3
West,42,63,7,2
West,0,0,0,0
East ,143,173,36,6.3
Middle,142,373,42,14.4
Middle,295,84,212,10.5
Middle,263,114,8,6.8
West,34,4,13,1.1
West,23,0,0,0.4
Middle,167,41,8,3.8
Middle,76,173,8,4.6
Middle,173,35,35,5.4
East ,245,145,16,7.2
West,31,2,1,0.6
Middle,231,252,94,10.3
West,25,7,7,4.3
West,88,0,0,6.3
Middle,37,1,7,4
East ,144,56,16,4
West,57,65,1,2.2
West,147,1,4,5.8
East ,240,122,100,8.2
Middle,17,2,1,1.8
Middle,15,1,1,0.4
East ,130,124,172,7.6
West,79,192,8,5
East ,159,76,3,4.2
West,1,3,1,0.1
Middle,76,1,9,1.7
East ,0,254,74,5.9
East ,149,87,11,4.4
Middle,230,87,254,10.2
East ,93,137,5,4.2
Middle,192,154,113,8.2
Middle,361,170,134,11.8
West,0,0,0,0
Middle,32,3,1,2.3
Middle,224,81,278,10.4
West,15,44,3,1.1
East ,52,286,26,6.6
East ,193,147,9,6.2
East ,162,74,3,4.2
Middle,6,4,1,0.2
East ,52,69,2,2.2
East ,92,0,233,5.8
West,18,0,0,0.5
Middle,224,194,59,9.5
Middle,20,3,0,0.7
West,77,35,1,2
Middle,263,133,97,10
Middle,127,151,370,11.8
West,347,98,59,8.9
West,8,0,1,2.4
Middle,52,100,149,5.4
Middle,346,117,175,11.3
Middle,31,3,10,1.8
Middle,133,112,218,8.3
Middle,199,438,28,11.9
East ,53,69,2,2.2
West,9,0,2,0.2
West,28,31,21,2.5
West,93,302,1,7.1
East ,1,326,1,5.9
East ,69,98,2,3
Middle,234,215,185,11.3
East ,233,61,78,6.6
West,9,114,0,2.2
West,5,1,0,0.1
West,0,0,0,0
West,9,3,0,0.2
Middle,313,118,165,11.4
Middle,63,69,9,2.5
Middle,85,42,237,6.5
Middle,82,97,9,3.4
West,77,202,16,7
Middle,6,21,1,0.5
Middle,124,246,12,6.8
Middle,58,22,2,1.8
West,21,34,1,1
Middle,0,0,0,0
West,31,97,6,2.4
West,62,0,123,6.2
West,281,216,62,10.5
West,20,55,31,1.9
West,82,29,0,2.8
Middle,19,152,2,3.1
Middle,0,0,0,0
Middle,343,244,56,12.9
Middle,236,133,271,11.4
West,26,15,4,0.8
West,8,11,1,1.5
West,13,4,0,0.3
West,0,0,0,0
West,5,1,1,0.6
West,149,100,120,6.6
West,0,0,0,0
West,0,0,0,0
West,98,31,18,2.6
East ,238,68,5,5.5
West,62,50,18,2.3
Middle,0,0,0,0
Middle,77,189,8,4.9
Middle,31,114,128,4.9
Middle,12,6,10,0.5
Middle,47,18,5,1.3
Middle,5,1,0,0.1
Middle,376,3,1,6.8
Middle,49,0,8,1
West,5,6,0,0.2
Middle,251,88,190,9.4
West,203,79,175,9.3
East ,78,118,1,3.5
Middle,3,2,1,0.1
Middle,42,5,2,9.1
West,188,200,7,7
Middle,169,71,129,6.7
West,22,16,1,0.7
West,0,0,0,0
West,306,63,23,6.9
West,285,104,18,7.2
West,44,39,1,1.5
East ,213,117,74,7.3
East ,163,160,21,6.1
West,71,186,1,4.6
Middle,343,215,56,10.9
Middle,194,67,339,11
West,1,42,7,0.9
West,140,16,9,9.8
West,109,226,18,6.3
Middle,297,122,167,10.4
West,247,326,73,11.5
Middle,43,2,0,6.8
West,194,205,32,7.7
East ,171,315,71,10.1
East ,120,221,11,6.3
West,105,18,24,2.6
West,0,0,0,0
West,56,38,140,4.2
West,0,5,0,0.1
West,9,1,7,0.3
West,283,131,127,9.6
West,157,25,51,4.1
West,25,3,2,6.7
West,60,12,11,1.5
Middle,196,293,116,11.4
Middle,270,51,276,10.6
Middle,56,11,1,1.2
West,0,0,0,0
Middle,225,76,81,8.2
Middle,284,157,112,10
West,16,104,0,2.2
West,8,13,0,1.7
West,128,178,7,5.6
Middle,90,2,2,4.7
Middle,152,60,186,7.2
Middle,185,100,280,10.2
West,5,35,16,1
Middle,2,15,0,0.3
West,99,258,1,6.4
West,106,27,86,3.9
West,1,1,4,0.1
Middle,36,2,19,1.3
Middle,36,21,5,1.1
West,197,156,7,6.4
West,51,3,20,1.3
Middle,51,22,7,1.4
West,19,71,32,2.2
West,6,41,9,1
Middle,45,9,0,8.3
Middle,206,237,45,8.9
West,16,135,5,2.8
Middle,219,126,195,10.4
Middle,36,6,1,5.7
East ,249,158,84,8.7
Middle,115,35,220,6.6
West,25,101,8,2.4
West,21,18,11,0.9
East ,333,100,3,7.7
West,111,2,1,2
Middle,6,0,0,0.1
Middle,32,19,4,2.5
Middle,64,18,4,4.7
